# provenance: derived from data/raw/EXP-T05/*_stability_r{1,2,3}.json by inline aggregator, 2026-08-24
metric,mean,std,rel_std_pct
N,100,0,0.00
per_call_us.eager_loop_ms,36.1567,0.11,0.30
per_call_us.graph_replay_ms,3.11,0,0.00
per_call_us.torch_graph_ms,4.04,0.01,0.25
per_call_us.torch_loop_ms,8.03,0.737,9.17
total_ms.eager_loop_ms,3.6154,0.0112,0.31
total_ms.graph_replay_ms,0.310944,0.000387,0.12
total_ms.torch_graph_ms,0.404037,0.000866,0.21
total_ms.torch_loop_ms,0.802878,0.0736,9.16
