# provenance: derived from data/raw/EXP-T02/*_stability_r{1,2,3}.json by inline aggregator, 2026-08-24
metric,mean,std,rel_std_pct
bench.gemm_qwen8b_mlp_up.cublas_ms,1.3717,0.0403,2.94
bench.gemm_qwen8b_mlp_up.cublas_tflops,150.367,4.47,2.98
bench.gemm_qwen8b_mlp_up.stages1_ms,1.6202,0.00308,0.19
bench.gemm_qwen8b_mlp_up.stages1_tflops,127.233,0.231,0.18
bench.gemm_qwen8b_mlp_up.stages2_ms,1.60673,0.00533,0.33
bench.gemm_qwen8b_mlp_up.stages2_tflops,128.3,0.458,0.36
bench.gemm_qwen8b_mlp_up.stages3_ms,1.36033,0.0145,1.07
bench.gemm_qwen8b_mlp_up.stages3_tflops,151.567,1.63,1.07
bench.gemm_qwen8b_mlp_up.stages4_ms,1.327,0.00795,0.60
bench.gemm_qwen8b_mlp_up.stages4_tflops,155.333,0.907,0.58
bench.gemm_square4k.cublas_ms,0.859067,0.00365,0.42
bench.gemm_square4k.cublas_tflops,160,0.721,0.45
bench.gemm_square4k.stages1_ms,1.0414,0.00807,0.78
bench.gemm_square4k.stages1_tflops,132,1.06,0.80
bench.gemm_square4k.stages2_ms,1.02747,0.00448,0.44
bench.gemm_square4k.stages2_tflops,133.733,0.577,0.43
bench.gemm_square4k.stages3_ms,0.862267,0.00647,0.75
bench.gemm_square4k.stages3_tflops,159.4,1.23,0.77
bench.gemm_square4k.stages4_ms,0.8699,0.019,2.18
bench.gemm_square4k.stages4_tflops,158.033,3.52,2.23
bench.int8q_1024x1024.pytorch_eager_ms,0.0996967,0.00174,1.75
bench.int8q_1024x1024.triton_ms,0.04216,0.000353,0.84
bench.int8q_8192x8192.triton_ms,0.36192,2e-05,0.01
bench.rmsnorm_2048x1024.pytorch_eager_ms,0.1053,0.000852,0.81
bench.rmsnorm_2048x1024.triton_ms,0.0353633,0.000498,1.41
bench.rmsnorm_2048x4096.pytorch_eager_ms,0.230773,8.08e-05,0.04
bench.rmsnorm_2048x4096.triton_ms,0.03533,0.00152,4.30
bench.softmax_1024x1024.pytorch_ms,0.00823667,0.000362,4.39
bench.softmax_1024x1024.triton_ms,0.03633,0.00044,1.21
bench.softmax_1024x1500.pytorch_ms,0.00845,0.000303,3.59
bench.softmax_1024x1500.triton_ms,0.0361133,0.000346,0.96
bench.softmax_8192x8192.pytorch_ms,0.582353,0.000179,0.03
bench.softmax_8192x8192.triton_ms,0.584433,0.000843,0.14
correctness.gemm_qwen8b_mlp_up_relerr,0.000733676,0,0.00
correctness.gemm_square4k_relerr,0.000716332,0,0.00
correctness.int8q_1024x1024_maxabs,0.02,0,0.00
correctness.int8q_scale_err_vs_ref,0,0,0.00
correctness.rmsnorm_2048x1024,0.000976562,0,0.00
correctness.rmsnorm_2048x4096,0.00390625,0,0.00
correctness.softmax_1024x1024,3.72529e-09,0,0.00
correctness.softmax_1024x1500,3.72529e-09,0,0.00
correctness.softmax_8192x8192,1.86265e-09,0,0.00
